TourID,ClientID,Hotel rating,Beach rating,Transportation rating,Overall,Recommendation
57,347,2.5,2.6,2.7,2.6,1
27,709,1.4,1.3,3.2,2.3,0
21,516,4.4,3.8,3.0,3.7,1
47,947,0.8,0.9,2.7,1.3,0
47,948,0.7,0.4,1.3,0.6,0
27,702,1.9,1.3,4.2,2.5,0
27,710,1.2,0.6,0.7,1.0,0
5,428,1.9,1.8,2.8,1.7,0
37,22,4.6,4.4,4.4,4.6,1
5,789,0.5,0.7,1.0,0.6,0
8,600,2.8,3.0,0.9,2.3,0
5,790,0.6,0.4,2.0,0.9,0
8,891,3.8,3.9,2.8,3.1,1
27,713,2.8,2.5,4.6,3.3,0
47,949,0.7,0.0,5.0,2.2,0
47,950,0.3,0.4,4.8,1.6,0
47,635,0.2,0.3,0.1,0.3,0
47,951,0.2,0.0,4.3,1.3,0
37,6,4.1,3.4,3.5,3.4,1
5,791,0.3,0.0,1.3,1.0,0
8,892,3.3,3.9,0.4,2.7,1
5,792,0.2,0.2,0.4,0.5,1
29,368,4.3,4.5,3.4,4.0,1
29,405,4.6,5.0,4.0,4.3,1
27,714,1.5,1.2,4.6,2.7,1
29,369,5.0,5.0,4.1,5.0,0
27,546,1.8,2.4,2.2,2.5,1
8,893,2.8,1.9,1.5,1.9,0
5,522,0.4,0.8,2.7,1.0,0
5,793,1.0,1.6,1.3,1.7,0
8,894,3.6,4.5,0.8,2.7,1
37,92,3.5,4.0,3.7,3.9,1
37,93,3.5,2.9,4.3,3.3,1
21,517,5.0,5.0,3.9,4.1,1
27,716,2.2,1.5,1.1,1.8,0
27,717,2.4,3.0,3.3,3.3,1
21,519,5.0,4.2,3.5,4.4,0
21,518,4.6,4.3,4.6,4.9,1
21,520,4.7,4.7,0.5,2.9,1
29,686,5.0,4.6,1.6,3.6,1
8,888,2.1,2.2,4.6,2.6,0
5,787,1.7,2.3,1.0,1.7,0
29,687,4.4,5.0,3.0,4.1,1
8,896,3.5,2.9,3.3,3.7,1
29,688,4.3,5.0,3.6,4.1,1
37,95,3.5,3.9,4.0,3.3,1
37,96,4.4,4.6,0.4,3.6,1
37,98,4.3,4.3,4.9,4.2,1
8,895,3.9,4.7,0.4,3.2,1
8,601,2.7,2.7,4.5,3.3,0
8,897,3.1,2.3,2.1,2.2,0
29,685,5.0,4.9,0.4,3.8,1
29,689,5.0,4.3,0.5,2.9,1
29,690,4.5,4.9,3.3,4.4,1
14,123,4.5,5.0,4.2,4.6,0
14,125,3.7,3.8,4.5,4.2,1
14,124,4.7,5.0,1.2,3.2,0
14,128,3.7,3.5,3.6,3.9,1
13,851,2.4,2.6,0.4,1.3,0
14,127,4.3,4.1,3.4,4.0,1
18,15,1.7,1.9,3.9,2.9,1
18,18,1.5,0.6,4.0,1.6,0
18,7,1.8,2.5,4.7,3.0,1
18,26,1.4,1.1,0.3,1.4,0
18,36,1.0,0.4,1.8,0.8,0
18,38,1.8,1.6,3.4,2.6,1
32,82,1.8,2.2,4.7,2.9,1
32,210,2.8,2.7,3.9,3.4,1
4,394,1.6,2.5,1.1,2.2,0
61,105,4.5,4.2,2.8,4.1,1
22,939,2.8,3.0,4.5,3.5,1
22,940,1.1,0.7,2.4,1.4,0
22,941,1.1,1.3,1.8,1.7,0
32,211,1.0,0.3,4.1,1.7,0
4,396,1.5,1.8,4.9,2.6,1
61,106,4.7,4.3,1.0,3.6,0
62,34,1.7,0.7,0.2,0.8,0
62,112,1.8,1.6,2.8,2.3,0
62,113,0.3,0.6,0.7,0.2,0
62,114,1.5,1.2,1.0,1.2,0
49,288,0.5,0.0,3.9,1.3,1
49,296,1.0,0.8,2.5,1.6,0
49,315,0.0,0.0,4.3,1.5,0
4,399,2.5,2.7,1.3,2.2,0
4,400,1.1,1.0,0.2,1.1,0
32,212,2.2,1.8,1.5,1.6,0
4,367,1.6,2.5,2.7,2.2,0
32,213,1.2,0.5,1.6,1.6,0
32,214,1.4,1.6,0.9,1.1,0
61,28,3.1,3.2,4.2,3.5,1
32,215,1.9,2.1,3.1,2.2,0
61,108,3.7,3.6,0.6,2.8,1
62,33,1.1,0.9,0.0,0.3,0
34,606,1.4,2.1,3.3,1.9,0
62,115,0.9,0.2,3.0,1.6,0
62,116,0.1,0.0,4.2,0.9,0
62,0,1.0,1.9,4.4,2.9,1
49,446,0.4,0.2,0.5,0.5,0
61,35,3.2,3.0,2.0,2.4,1
49,444,1.1,1.1,2.0,1.8,0
34,607,1.5,0.6,2.3,0.9,0
61,109,5.0,5.0,0.4,3.4,1
61,34,4.1,3.5,0.1,3.0,1
61,112,4.5,3.7,0.7,3.0,1
61,113,3.9,3.8,1.5,3.5,1
63,203,3.3,2.6,4.9,3.8,1
61,114,4.2,4.0,0.7,3.4,1
63,206,4.7,4.8,0.6,3.8,1
64,73,3.9,4.3,2.0,3.4,1
64,74,4.5,5.0,1.5,3.6,1
39,655,1.7,2.0,1.7,1.5,0
39,657,1.5,2.2,4.9,3.1,1
46,934,0.1,0.0,2.5,1.0,0
64,10,3.2,2.7,3.8,3.0,1
17,658,4.0,3.2,3.9,3.5,1
46,620,0.3,0.0,0.7,0.4,0
64,5,4.5,4.8,2.3,3.8,1
65,806,4.3,4.3,0.8,3.0,1
17,660,3.8,3.0,3.4,3.9,1
46,631,0.6,0.0,4.7,1.7,1
65,795,4.6,4.4,2.4,3.7,1
17,659,3.8,4.3,1.1,2.6,1
65,796,3.7,2.9,3.5,3.5,1
49,445,0.5,1.3,3.4,1.8,0
39,656,2.8,2.0,0.7,1.9,0
39,658,1.6,2.2,2.3,2.1,0
39,660,2.6,1.8,0.5,1.9,1
46,936,0.0,0.0,2.4,0.6,0
46,609,1.5,1.7,2.8,2.1,1
65,794,3.7,4.7,0.9,2.7,1
49,448,1.2,0.4,3.6,2.1,0
49,449,0.8,1.4,0.5,1.0,0
46,937,1.2,1.7,1.3,1.3,0
49,450,0.9,1.4,4.8,2.2,0
46,939,0.4,0.0,4.4,2.1,0
49,451,1.4,0.7,1.2,1.1,0
65,808,4.5,5.0,3.1,4.1,1
65,810,4.5,5.0,3.0,4.2,1
65,809,3.8,3.8,3.9,4.3,1
65,782,4.6,5.0,1.8,3.6,1
66,95,1.6,1.5,4.4,2.6,1
17,341,3.3,4.1,4.2,3.9,1
17,661,3.4,4.2,2.0,2.8,1
17,663,4.0,4.0,3.5,4.0,1
67,429,2.2,1.4,0.7,1.3,0
66,96,2.1,1.5,1.9,2.0,0
67,430,1.2,1.5,2.9,1.7,0
66,98,1.9,2.7,0.9,1.9,0
67,231,1.7,0.7,2.1,1.5,0
66,97,1.3,1.5,4.6,2.0,0
66,99,2.5,2.8,0.8,2.2,0
66,100,2.2,3.1,3.2,3.0,1
45,776,2.1,2.9,3.1,3.2,1
66,8,1.9,2.2,4.4,2.7,1
45,832,2.5,2.3,2.9,2.2,0
66,19,2.4,3.1,3.7,3.3,1
67,434,2.2,1.5,3.3,2.3,0
45,836,2.4,2.1,4.7,3.3,1
66,104,1.3,1.8,3.8,1.9,0
66,105,3.0,2.7,2.2,2.7,1
45,835,2.1,2.2,0.3,1.7,0
67,435,1.7,0.8,3.7,2.1,1
68,875,4.6,4.2,3.7,4.5,1
68,877,3.9,3.2,0.5,2.9,1
17,662,4.6,4.5,2.1,3.6,1
68,876,3.6,3.5,3.1,3.5,1
68,878,3.3,3.8,0.2,2.3,0
45,831,4.0,3.4,2.5,3.0,1
68,879,3.3,2.3,2.3,2.8,0
68,880,3.9,4.3,0.1,2.4,0
68,881,3.1,2.5,2.4,2.9,1
45,827,3.8,4.2,3.0,3.4,0
68,883,3.2,2.3,2.2,2.0,1
69,385,4.4,4.1,3.4,4.4,1
69,388,3.9,4.3,1.7,3.4,1
69,386,3.7,4.5,2.8,3.5,1
69,389,3.9,3.0,4.8,3.6,1
69,390,3.5,3.2,2.8,3.1,1
47,630,0.4,1.1,3.8,1.4,0
47,952,1.6,1.3,1.7,1.2,0
47,954,0.3,0.0,4.2,1.6,0
47,944,1.5,2.1,1.3,2.0,0
70,885,1.4,1.1,1.5,0.9,0
71,389,4.0,4.4,3.4,4.4,1
71,390,4.9,5.0,2.0,4.4,1
71,391,5.0,5.0,1.6,4.0,1
71,392,4.9,4.1,3.2,4.2,1
72,921,5.0,4.6,3.5,4.8,0
71,393,4.6,4.8,0.2,3.1,1
71,395,5.0,5.0,0.8,3.9,1
71,394,5.0,4.3,2.6,3.7,0
73,945,2.4,1.9,1.9,2.4,0
71,396,5.0,4.2,0.2,3.0,1
73,946,3.3,2.4,0.7,1.9,0
73,947,2.8,2.7,0.1,1.8,0
72,922,4.4,4.8,0.6,3.6,0
73,948,2.5,2.5,3.7,3.3,1
73,949,3.5,4.0,0.5,2.4,0
73,950,3.2,3.6,0.5,2.1,0
72,923,4.8,4.8,4.8,4.4,0
74,93,4.7,5.0,1.0,3.3,1
74,95,4.5,4.8,1.0,3.6,1
74,96,4.2,4.5,0.1,3.3,1
72,924,5.0,4.1,3.7,3.9,1
72,926,5.0,4.3,1.7,4.1,1
73,635,3.7,3.7,2.4,3.6,1
74,98,5.0,4.3,2.1,3.5,1
74,97,4.6,4.2,2.0,3.8,1
73,951,2.8,3.4,1.0,2.0,0
75,465,2.8,2.7,3.8,3.6,1
76,168,2.3,1.5,2.2,2.4,0
76,171,3.4,3.1,4.2,3.9,1
76,172,3.1,3.8,1.6,2.9,1
76,173,3.9,3.3,4.8,3.5,1
77,687,2.2,2.2,2.6,2.1,0
77,688,3.1,2.2,0.5,2.2,0
77,685,3.2,4.1,3.6,4.0,1
77,689,2.6,2.6,3.8,2.7,1
77,690,3.2,2.6,2.3,2.4,0
0,556,1.8,1.7,3.6,2.8,1
78,323,1.3,0.4,3.3,2.0,0
0,558,2.1,2.0,1.9,2.2,0
43,543,2.9,3.7,3.4,3.1,0
0,560,1.9,2.6,3.8,2.8,1
0,559,2.4,2.5,0.8,2.2,0
77,691,3.5,2.8,2.8,3.2,1
81,900,2.5,3.1,1.0,2.4,0
78,327,0.2,0.0,0.7,0.6,0
78,429,1.7,0.8,0.6,1.2,1
81,904,2.7,1.7,1.6,1.5,0
80,477,1.9,1.8,3.3,2.5,0
81,901,2.1,2.6,3.6,2.5,0
43,150,3.8,3.1,1.1,2.6,1
0,561,1.9,2.0,4.2,2.9,1
0,562,1.6,2.3,2.4,2.0,0
78,430,1.8,2.1,1.4,1.8,0
81,902,3.8,3.7,2.0,3.0,0
81,905,3.5,2.9,4.6,3.2,1
78,231,1.5,1.9,1.6,1.6,0
80,478,1.6,2.0,0.5,1.2,0
43,235,3.8,3.7,4.4,4.1,1
0,563,1.2,0.8,1.0,1.4,0
43,547,3.4,3.4,0.4,2.5,0
81,903,2.5,3.4,4.8,4.1,1
78,434,1.7,0.9,2.0,1.1,1
81,908,2.6,3.1,4.0,3.6,1
81,909,2.2,2.7,3.0,3.0,1
80,479,1.4,0.7,1.8,0.9,1
81,907,3.4,3.7,2.5,3.2,1
80,480,2.0,1.8,4.4,2.9,1
43,548,3.1,3.6,2.2,3.4,1
80,481,0.9,0.2,2.5,1.2,0
43,549,3.1,3.0,2.2,2.6,1
78,435,1.8,2.4,2.7,2.4,0
78,436,0.0,0.0,1.6,0.3,0
78,437,1.1,0.7,4.8,2.4,0
80,482,0.1,0.0,3.7,1.6,0
80,67,0.8,0.0,0.5,0.6,1
43,550,2.4,2.6,4.8,3.5,1
80,129,1.6,1.7,1.2,1.4,0
43,427,2.8,2.4,2.4,2.9,1
80,486,0.9,1.6,1.0,1.5,0
43,551,3.5,2.5,2.0,2.3,0
79,207,2.5,2.5,0.2,2.1,1
79,86,3.9,4.4,0.1,2.8,0
79,82,2.8,2.9,3.6,3.4,1
79,210,2.1,2.4,3.8,3.1,0
79,211,3.4,3.2,2.4,2.5,0
82,27,3.1,2.1,2.0,2.8,1
82,83,3.6,3.7,5.0,4.3,0
82,84,4.8,4.3,0.0,2.7,1
82,14,4.7,5.0,2.3,3.6,1
79,212,2.6,2.3,3.1,2.6,1
79,213,2.6,3.3,2.6,3.0,1
82,17,3.2,3.2,1.4,2.6,1
82,24,3.9,3.0,0.8,2.3,0
79,214,3.4,2.7,2.8,3.0,1
83,635,4.8,5.0,4.3,5.0,1
83,951,3.9,3.7,0.6,2.8,1
83,630,3.9,3.2,0.7,2.7,1
83,952,3.5,4.2,4.8,4.4,1
83,954,4.4,4.7,3.9,4.6,1
10,80,2.6,1.7,0.6,1.8,0
76,170,3.7,4.5,0.5,3.0,1
76,11,3.6,2.8,4.6,3.6,1
76,174,3.7,3.1,0.4,2.1,0
10,27,2.1,2.2,3.4,2.1,1
83,944,4.7,4.5,4.8,5.0,1
10,83,3.5,3.3,2.8,3.3,1
83,957,3.2,3.3,0.6,2.9,1
86,989,3.8,4.0,4.1,4.0,1
10,84,2.1,3.0,1.3,2.4,0
83,956,4.0,3.4,4.2,3.5,1
85,850,4.2,3.7,2.3,2.9,0
85,862,3.3,2.6,4.6,3.1,1
83,634,4.8,4.2,4.5,5.0,1
86,990,3.6,4.2,4.2,4.2,1
85,849,3.7,4.3,4.0,3.8,1
85,864,3.5,3.2,0.8,2.2,0
86,987,4.9,5.0,4.1,5.0,1
85,863,4.2,4.8,2.1,3.4,1
85,865,4.5,4.0,3.4,3.6,1
86,992,3.6,3.3,3.4,3.4,1
86,991,4.8,5.0,1.9,4.2,1
85,866,3.6,3.6,3.7,3.5,1
85,868,4.3,4.1,0.4,2.5,1
88,317,5.0,5.0,3.7,4.9,1
85,867,3.2,3.9,3.8,3.9,0
87,650,4.8,4.2,1.4,3.8,1
85,869,4.1,4.3,4.2,4.6,1
87,651,4.7,3.9,0.3,3.4,1
86,994,4.7,5.0,0.5,3.6,1
86,993,3.9,4.5,0.7,3.0,1
88,225,5.0,5.0,2.2,3.7,1
86,995,3.0,2.4,4.0,3.0,1
88,374,4.4,4.3,1.5,3.4,1
86,996,5.0,5.0,1.0,3.4,1
87,331,3.6,4.1,1.6,3.2,1
87,652,3.7,4.6,4.3,3.8,1
87,343,4.8,4.3,2.1,3.3,0
87,653,4.1,4.9,0.5,3.7,1
88,375,4.5,4.6,2.5,4.0,1
88,373,4.2,3.6,0.0,2.3,0
89,445,1.6,1.3,2.4,1.4,0
89,448,3.0,2.2,0.0,2.0,0
90,497,1.7,1.4,2.6,2.0,0
90,498,1.4,1.0,1.3,1.1,0
90,499,1.7,1.5,4.5,2.3,0
88,371,4.0,3.4,0.0,2.8,1
88,370,5.0,4.6,4.5,5.0,1
89,449,2.9,2.1,3.2,2.8,1
91,367,4.6,4.1,3.4,4.1,1
90,501,1.0,1.7,1.0,1.2,0
90,500,2.0,1.4,0.9,1.1,0
91,364,4.5,5.0,2.9,3.8,0
89,450,1.4,1.4,4.2,2.6,1
91,402,3.9,3.2,0.6,2.2,0
91,401,4.2,3.2,3.9,3.6,1
91,404,4.3,5.0,0.5,3.6,0
91,406,3.8,4.7,2.9,4.2,1
89,451,2.3,2.0,4.7,3.1,1
91,407,3.8,4.0,3.0,3.8,1
91,403,4.2,4.7,0.5,2.8,1
89,453,2.2,2.4,2.6,2.0,0
92,372,2.7,3.0,1.8,2.5,1
89,454,2.0,1.9,4.4,2.5,0
92,317,3.2,3.6,0.6,2.5,0
89,452,2.8,3.0,0.8,2.1,0
89,456,2.5,3.4,0.5,2.5,1
92,225,3.2,2.5,4.8,3.3,1
92,374,2.4,2.6,0.0,2.1,0
92,375,3.0,2.6,1.5,2.3,0
92,373,2.4,2.0,0.2,1.9,0
93,849,2.3,2.8,3.8,3.5,0
92,371,3.8,4.3,3.4,4.2,1
93,864,2.7,2.9,3.8,3.5,1
94,747,0.1,0.0,0.2,0.5,0
94,734,1.0,0.7,4.0,2.3,0
93,863,2.7,1.9,0.8,1.6,0
94,750,1.8,1.0,4.5,2.8,1
93,865,1.5,1.7,4.7,2.8,1
95,594,3.7,4.1,2.7,3.8,1
94,751,1.2,1.1,1.0,1.2,0
93,866,2.4,3.3,3.3,2.7,1
96,667,1.3,1.6,4.8,2.9,1
95,595,2.5,3.5,3.6,3.4,1
95,596,2.9,2.1,3.2,2.9,1
94,752,0.7,0.0,1.0,0.7,0
93,868,2.0,2.2,1.9,2.3,0
96,668,1.9,1.0,0.9,1.2,0
93,867,1.1,1.8,0.8,1.5,0
93,869,2.5,1.9,0.8,1.8,0
93,870,2.6,1.8,4.1,3.1,1
0,564,2.6,2.6,4.2,3.6,1
97,456,2.4,3.3,2.2,2.3,0
97,455,3.7,4.5,3.9,3.9,1
24,950,2.6,1.7,2.5,1.9,0
11,40,5.0,4.3,3.6,4.4,1
97,457,3.5,4.2,4.6,3.8,1
11,44,4.9,4.6,4.3,4.9,1
11,42,5.0,4.5,4.6,5.0,1
97,316,3.3,2.5,2.9,2.8,1
24,635,2.1,1.6,2.5,2.5,0
11,43,5.0,5.0,1.9,3.8,1
11,46,5.0,4.1,3.7,4.4,1
11,45,5.0,5.0,0.2,3.0,0
99,95,3.7,3.0,3.5,3.6,1
97,458,3.3,4.2,0.3,2.3,0
24,951,2.4,3.3,2.3,3.0,1
99,96,4.0,4.7,3.0,4.1,1
24,630,2.4,1.6,1.9,1.5,0
99,98,4.9,5.0,4.0,4.3,0
24,952,2.9,2.8,4.8,3.6,1
100,691,0.9,1.6,1.0,1.2,0
97,459,2.4,3.0,4.6,3.0,1
15,566,0.4,1.1,4.8,1.8,0
99,97,3.6,3.8,3.0,3.7,1
15,567,0.1,0.0,4.0,1.0,0
99,99,3.9,3.8,0.4,2.6,1
99,100,3.2,3.0,1.8,2.6,0
100,692,0.7,0.6,3.2,1.7,0
100,352,1.7,1.0,1.6,1.0,0
15,568,1.2,1.5,4.7,2.1,0
100,694,1.8,1.6,4.9,3.1,1
15,570,0.1,0.9,1.7,1.2,0
15,447,0.3,1.3,3.8,2.1,0
15,573,0.0,0.0,3.8,0.9,0
94,753,0.9,0.7,4.4,1.6,0
100,693,1.8,2.5,1.0,1.6,0
94,754,1.0,1.4,4.5,2.1,0
94,755,1.9,1.7,4.6,2.3,0
94,756,0.9,0.7,3.3,1.4,1
15,329,0.4,0.0,2.9,1.1,0
15,576,0.2,0.6,4.7,2.1,0
15,577,1.5,1.6,0.3,1.3,0
15,578,2.0,1.9,1.6,1.9,0
101,631,0.6,0.0,2.8,0.7,0
100,695,1.3,1.8,1.4,1.3,0
100,408,1.6,0.9,0.1,1.0,0
100,696,1.3,0.4,2.9,1.4,0
101,936,1.5,1.1,0.4,1.2,0
101,609,0.4,1.0,2.8,1.1,0
101,937,1.2,1.9,4.0,2.3,0
101,939,1.2,2.0,3.7,2.1,1
103,354,5.0,4.8,2.0,4.1,0
103,355,5.0,4.1,4.6,4.1,0
102,367,1.5,2.1,1.9,1.9,0
101,940,1.8,1.3,2.3,1.8,1
101,941,0.3,1.1,1.4,0.6,0
101,935,2.0,2.8,3.9,2.4,1
103,351,4.9,5.0,0.5,3.5,1
101,938,1.9,2.8,2.4,2.5,0
103,300,4.5,4.0,0.5,3.4,1
104,874,3.2,3.6,1.0,2.9,1
103,72,4.4,3.7,2.0,3.2,0
102,364,1.6,2.0,2.2,2.0,0
102,402,2.6,2.1,0.8,1.8,0
102,401,1.2,0.2,0.5,1.1,0
104,873,3.3,3.4,1.2,2.7,1
103,359,4.5,4.2,2.3,3.5,1
104,569,4.9,5.0,4.4,4.5,1
103,360,5.0,4.5,3.1,4.3,1
102,404,1.3,0.9,4.7,2.1,1
104,875,4.9,4.6,0.8,3.5,1
105,81,4.7,5.0,4.2,4.7,1
105,219,4.2,3.9,3.5,3.5,1
104,877,3.3,3.4,3.3,3.7,1
105,220,4.6,3.8,3.6,3.6,0
106,960,1.0,1.4,1.2,1.5,0
102,406,1.1,2.0,0.8,1.3,0
102,407,1.9,2.2,3.3,2.7,1
107,213,3.8,3.5,2.8,3.6,1
104,876,3.4,3.3,4.2,3.6,1
105,221,5.0,4.9,2.4,4.5,1
107,214,2.6,3.2,4.4,3.5,1
105,222,4.1,3.1,4.2,4.1,1
104,878,4.9,4.5,1.6,4.0,1
107,215,3.5,3.7,0.5,2.9,1
104,879,3.5,3.3,0.5,2.9,1
105,223,5.0,5.0,0.4,4.0,1
105,224,5.0,5.0,1.0,3.3,1
105,226,5.0,4.2,0.6,3.1,1
102,403,2.4,2.0,3.8,3.0,0
102,398,1.9,2.3,4.9,3.0,1
107,216,2.4,2.2,2.6,2.5,1
105,227,5.0,4.3,0.7,3.4,0
105,228,5.0,5.0,2.4,3.8,1
107,217,2.0,1.2,4.0,2.3,0
107,81,2.3,1.9,3.9,2.9,1
107,219,3.7,2.8,4.7,3.5,1
97,321,2.5,2.1,1.8,1.9,0
106,962,0.2,0.5,2.6,0.9,0
109,112,4.0,3.7,4.1,3.9,1
108,13,5.0,4.2,3.4,4.4,1
109,113,4.1,4.2,3.2,4.2,1
109,114,3.6,4.5,2.7,3.6,1
97,199,3.6,3.3,0.5,2.5,1
97,265,2.2,1.8,0.1,1.5,0
106,961,1.2,0.3,4.4,2.1,0
97,460,3.8,4.7,2.7,3.5,0
108,30,5.0,4.0,2.6,4.2,1
109,33,4.1,3.3,4.4,4.3,0
108,31,4.7,4.2,2.0,3.7,1
109,115,4.1,3.9,2.0,3.4,1
108,32,5.0,4.1,3.8,4.7,1
109,116,4.9,4.8,1.3,3.5,0
108,15,4.5,4.0,4.5,4.4,0
110,35,0.5,0.5,4.8,2.1,0
106,963,0.6,0.9,0.5,0.3,0
106,964,1.5,2.0,4.2,2.3,0
109,0,4.8,4.1,4.7,5.0,1
109,118,4.3,4.4,0.4,2.5,0
109,119,4.5,4.1,2.4,3.2,0
109,4,4.2,3.6,2.2,3.2,1
110,109,0.6,0.0,5.0,2.3,0
110,34,1.8,0.9,1.2,1.6,0
106,965,1.6,1.6,1.0,1.8,0
106,967,2.0,2.9,3.8,3.1,1
110,112,0.9,1.8,4.2,2.6,1
110,113,1.5,2.0,5.0,2.4,0
110,114,0.5,0.5,2.7,1.4,1
110,33,0.2,0.3,3.9,1.2,0
111,381,0.3,0.0,1.3,0.2,0
111,383,1.3,2.2,2.8,1.9,0
111,382,1.6,1.0,2.7,1.8,0
111,384,1.7,2.6,3.4,2.6,0
112,556,3.6,3.6,1.7,3.0,1
111,385,0.3,0.0,2.8,1.4,0
111,388,1.4,1.0,4.5,2.1,1
112,558,2.1,1.7,1.1,1.6,1
112,560,3.1,2.2,0.1,1.8,0
112,559,2.9,2.8,3.9,2.9,1
113,237,1.6,2.1,3.3,2.0,0
113,238,0.1,1.1,4.4,2.0,0
111,386,1.7,2.2,2.0,1.5,0
111,389,0.6,0.8,1.1,1.2,0
111,390,1.3,0.5,2.4,1.6,0
112,561,2.2,1.3,1.4,2.0,0
112,562,3.3,2.9,2.1,3.0,1
114,650,0.5,0.0,2.9,1.1,1
113,239,0.1,0.7,4.3,1.9,1
114,651,0.1,1.0,1.9,0.7,0
113,77,0.3,0.3,2.5,0.7,0
115,83,1.8,1.8,1.6,1.2,0
114,331,0.4,1.0,0.5,0.2,1
114,652,0.2,0.4,1.3,0.3,0
116,881,1.6,1.1,0.2,0.9,0
114,343,1.9,2.0,1.7,1.6,0
115,84,2.0,2.6,0.1,1.4,1
115,14,1.2,1.8,1.8,1.3,0
117,598,1.4,1.5,0.6,1.1,0
